M1,-29.65460913,-53.8341274,450.118
M3,-29.67357437,-53.8205554,103.377
M4,-29.68941434,-53.82128267,135.751
M5,-29.70323314,-53.81691593,107.955
M6,-29.71498557,-53.81008333,98.347
M7,-29.70748513,-53.87390273,117.438
M9,-29.6765781,-53.85593416,150.153
M10,-29.70703206,-53.85221851,116.773
M11,-29.70168068,-53.82755611,99.563
M12,-29.69545786,-53.81551143,122.438
M13,-29.72842881,-53.80895047,101.492
M14,-29.69080214,-53.80120967,155.937
M15,-29.68606204,-53.80648204,160.926
M16,-29.68140556,-53.80594891,142.245
M17,-29.6851191,-53.8033814,135.788
M18,-29.71044821,-53.79534733,175.282
M19,-29.70249074,-53.7154251,100.112
M20,-29.70634906,-53.73986824,122.763
